V1	V2	Bin
19.992205	-7.2472014	bin_10
-68.01683	-0.9373888	bin_4
-9.018595	-51.4014	bin_8
-58.004837	11.914617	bin_1
-4.8251166	-65.58471	bin_12
11.718905	-54.51413	bin_11
20.939322	25.019056	bin_3
3.1407466	-44.78627	bin_7
32.0084	-44.499226	bin_9
15.491772	-3.1569636	bin_10
-66.90508	-2.7780771	bin_4
10.075726	-55.985565	bin_11
24.40533	22.629948	bin_3
-7.7158923	-66.458206	bin_12
-8.14089	-53.00304	bin_8
2.1565423	7.0992537	bin_6
1.4160193	-46.187065	bin_7
34.150024	-41.633656	bin_9
8.208048	-55.601208	bin_11
24.731169	23.417747	bin_3
17.085228	-6.065054	bin_10
-55.008774	11.8277645	bin_1
-66.70341	-4.7655106	bin_4
-7.8423605	-67.04013	bin_12
15.425401	-58.118977	bin_11
25.437775	23.611223	bin_3
30.990757	-46.19877	bin_9
3.5202565	-46.034447	bin_7
19.883873	-2.51174	bin_10
-8.695034	-51.396824	bin_8
11.910809	-53.533504	bin_11
21.598063	23.288387	bin_3
-64.933014	-5.9894013	bin_4
-6.7368817	-66.19512	bin_12
2.558152	2.3357623	bin_6
31.92042	-46.260223	bin_9
22.254322	16.341984	bin_11
24.901188	24.967052	bin_3
2.5409205	-46.962387	bin_7
19.840147	-4.023111	bin_10
-8.675131	-51.202198	bin_8
-66.13413	-4.159074	bin_4
10.789775	-53.858475	bin_11
-7.8116655	-67.17097	bin_12
23.262604	24.536486	bin_3
28.414461	-46.28277	bin_9
